"Periodo","value"
"2002T1",18.6351
"2002T2",18.8702
"2002T3",19.1153
"2002T4",19.2243
"2003T1",19.4212
"2003T2",19.6392
"2003T3",19.8935
"2003T4",20.0171
"2004T1",20.08
"2004T2",20.2665
"2004T3",20.4889
"2004T4",20.6677
"2005T1",20.8574
"2005T2",21.1297
"2005T3",21.2056
"2005T4",21.3695
"2006T1",21.5213
"2006T2",21.726
"2006T3",21.8578
"2006T4",22.0148
"2007T1",22.1308
"2007T2",22.3541
"2007T3",22.5596
"2007T4",22.6599
"2008T1",22.8104
"2008T2",23.0326
"2008T3",23.1571
"2008T4",23.2621
"2009T1",23.3026
"2009T2",23.2938
"2009T3",23.2198
"2009T4",23.2254
"2010T1",23.2705
"2010T2",23.4064
"2010T3",23.4044
"2010T4",23.3771
"2011T1",23.3473
"2011T2",23.4662
"2011T3",23.4825
"2011T4",23.4403
"2012T1",23.433
"2012T2",23.4895
"2012T3",23.4919
"2012T4",23.3604
"2013T1",23.3084
"2013T2",23.2079
"2013T3",23.1734
"2013T4",23.0709
"2014T1",22.8839
"2014T2",22.9759
"2014T3",22.9317
"2014T4",23.0268
"2015T1",22.8994
"2015T2",23.0155
"2015T3",22.8995
"2015T4",22.8737
"2016T1",22.821
"2016T2",22.8757
"2016T3",22.8483
"2016T4",22.7459
"2017T1",22.6933
"2017T2",22.7276
"2017T3",22.7809
"2017T4",22.765
"2018T1",22.6703
"2018T2",22.8342
"2018T3",22.854
"2018T4",22.8688
"2019T1",22.8254
"2019T2",23.0355
"2019T3",23.0887
"2019T4",23.1588
"2020T1",22.9942
"2020T2",21.9752
"2020T3",22.8998
"2020T4",23.0641
"2021T1",22.8607
"2021T2",23.2155
"2021T3",23.4477
"2021T4",23.2888
"2022T1",23.2594
"2022T2",23.3874
"2022T3",23.5259
"2022T4",23.4878
"2023T1",23.5805
"2023T2",23.8192
"2023T3",24.121
